+=====================+=====================+=====================================================================================================================================================================+
| Launch Setup Clock  | Launch Hold Clock   | Pin                                                                                                                                                                 |
+=====================+=====================+=====================================================================================================================================================================+
| clk_200m_gfruit_pll | clk_200m_gfruit_pll | sp_uart1/tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/gen_pf_ic_rc.ngen_full_rst_val.ram_full_i_reg/D                                           |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[4]/D               |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[3]/D               |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[1]/D               |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[2]/D               |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/gen_pf_ic_rc.ngen_full_rst_val.ram_full_i_reg/D |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[0]/D               |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[2]/D                 |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[3]/D                 |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[1]/D                 |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[0]/D                 |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[1]/D               |
| clk_200m_gfruit_pll | clk_200m_gfruit_pll | sp_uart1/rx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/gen_pf_ic_rc.ram_empty_i_reg/D                                                            |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[0]/D               |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/uart_channel_top_inst/to_host_tx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/gof.overflow_i_reg/D                            |
| clk_200m_gfruit_pll | clk_200m_gfruit_pll | sp_uart1/rx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/gen_fwft.rdpp1_inst/count_value_i_reg[0]/D                                                |
| clk_200m_gfruit_pll | clk_200m_gfruit_pll | sp_uart1/rx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/guf.underflow_i_reg/D                                                                     |
| clk_125m_gfruit_pll | clk_125m_gfruit_pll | espi_target_top_inst/link_layer_top_inst/debug_link_layer/r_reg[cntr][3]/D                                                                                          |
| clk_200m_gfruit_pll | clk_200m_gfruit_pll | sp_uart1/rx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/FSM_sequential_gen_fwft.curr_fwft_state_reg[1]/D                                          |
| clk_200m_gfruit_pll | clk_200m_gfruit_pll | sp_uart1/rx_fifo/xpm_fifo_async_inst/gnuram_async_fifo.xpm_fifo_base_inst/FSM_sequential_gen_fwft.curr_fwft_state_reg[0]/D                                          |
+---------------------+---------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+
